GPNMB BAP1
ASIC1 ADM
CRX PAX2
PPP1R15A LUC7L3
NFIC TRABD2B
MEN1 NFYC
PLK4 ANKRD1
CD300LF TICAM2
LRRC6 DNAJB13
CRYBA1 PGA4
MRPS16 ZMYND11
OR2C1 ITGAV
FAT1 FGF11
BORCS5 HLA-A
CRHR1 RGS1
PAX2 TSC22D1
PHOX2A HAS2
CSTF3 TENM3
OR5T2 SPP2
MIR148B IGLV3-1
CHUK DEFA1
CDX2 FOXE3
MYO7A RP1
SLAMF1 CIAO1
PPIH WAS
POU6F2 RP2
IFNB1 TRAF3
EEF1A1 ULK3
IL6 PAX3
LCLAT1 APOBEC3G
XRCC6 GSK3B
LBP UMOD
KLRG1 S100A8
ARPC2 CAPZB
HLA-DMB GRIA1
ADH5 HS1BP3
AVL9 NECTIN3
LILRB2 CXCL6
GATA3 HAND1
AQP3 STARD4
OR6B1 DDRGK1
NDUFC1 LSM1
NFE2 NR2F2
CTBP2 CD33
APC METTL7A
RAB43 COLEC10
CDK7 RASGRP4
RRH GCG
CDH12 CEP89
GABRG2 ESR1
GRIK4 SLC6A2
GPR176 PYY
HCAR1 TCAF2
ASB12 MAP2K4
ABHD12 MIR199A2
OR52E5 MYO1C
PCDHA10 METTL21B
ENG ABLIM1
COL4A6 PDE3A
JAK2 NEDD9
SMARCA2 KLF9
AHCTF1 EXOC7
CYP2C18 FBXW8
GLRA2 PPP2R5A
ALOX15 IL13
MRPS11 DNAJC19
ATP6V0A2 CCL20
BRCA2 BCAR3
MAP3K9 DLST
CHRM3 SCTR
SGMS2 IGKV4-1
OPRM1 RARRES3
SPACA4 MLYCD
PHF13 ZNF256
WFDC2 CUX2
FYN HCRTR1
CRH SST
FUT3 GAB1
PRR4 CRYAA
LILRB2 WAS
KLRC2 NCR2
NOX4 CXCL11
THEG CDY2A
HNRNPUL1 CCL19
NR2E3 TTR
JAK2 MTCP1
NPY4R SERPING1
CLEC11A CAPNS1
ID4 KLF7
FBXW10 KIF24
FGF12 ASH1L
CCR6 BLNK
NOS3 VNN2
FFAR3 NTSR1
CCL22 TRH
PCDH1 FANCG
TSTD1 MPO
BTG1 CD33
FERMT2 COL13A1
ITGB3BP ARF6
PATE4 LAMA2
PPIG ZRANB2
UGT2A1 WDR59
P2RX7 GSTP1
IL12RB2 RAPGEF1
RHCG ZBTB38
OR51E2 CTBP1
DNM1 MAB21L2
GDF11 COMP
CSF1R DEFA6
GDF11 CRIM1
OR8D2 DCX
STAG3 ST8SIA5
DPH2 RXFP1
CSF3 FGF4
EEF1AKMT1 SLURP1
TRIM38 PPM1A
RAB15 SCCPDH
CCL24 TEK
FGF1 NELFA
GUCA1A LIPT1
SNRNP35 SCYL2
HSPB3 SEMA3C
NLGN1 SREBF2
RBM38 FLT1
APPL1 MKI67
DSG4 FAF1
EEF1D UBE2N
CRYZ BRD8
TCTEX1D2 LMO1
GTF3C6 PTGES2
GRAMD4 ARAP1
CDKN1A SSTR1
CHRNG MGMT
SMARCA5 CREG1
COG6 SEC24B
FAS FANCG
IRF3 NCOR1
TRAPPC11 RMI2
NANOGP8 CA14
SLURP1 TNK2
DHX30 STEAP2
CHST4 IL1B
PRDM5 ZSWIM7
RAB21 DMPK
DRD1 C5AR1
ZDHHC8 OR52K1
CCR7 TAF15
GRB10 TGFB2
PROK1 SLC25A13
FGF16 DGCR2
PPP2R1A BCAR3
ERCC2 PAX3
WBP11 IBTK
FGFR1OP TNFSF13
PEX13 PGAM5
NCOA6 INHBA
WEE1 BCAR3
EDC4 MAGEA5
NUPR2 CLPX
CDX2 SRSF11
CEP19 RASA4
CIB2 UBE2E2
CEBPB ELF3
PSG5 SYT9
PA2G4 OSMR
SRD5A3 DCP2
PLEKHM2 RCAN1
MAN1B1 MRPL10
EFS DCN
ACAA1 SGMS2
OTUD4 SARDH
SMARCC2 TARBP2
FOXO1 MED13
DBP MED7
PGA3 CENPE
MAPK6 NNT
BIRC3 BCL2L1
NUDT3 TNFAIP6
ABCB7 AQP6
HSF2BP RUVBL1
OR5H1 FEM1A
DENND5A DPP3
MRPL55 CLMP
CCL28 STARD4
EHD3 AES
ELF1 BMP6
CSPG4 RASL10A
CHEK1 NOTCH2
FCGR2B TNFRSF14
IDH3A OR2T11
PLA2G12A OLFM4
CCL21 TFAP2C
TUBB4B ITGAL
MCAM ADGRG1
KRT81 SPCS1
PMVK APOBEC1
EXOC7 MDH2
LGALS16 MAGOH
ARVCF PCDHGB4
ETV1 GTF2B
FLOT2 GJB5
KIF11 SLC31A2
ADRA2C FGF13
ABI1 CD3EAP
LOXL1 SIGLEC7
TNRC6B MYO1E
SOD1 NR2E1
KCNC1 KCNN1
ADCY8 FGGY
PTH1R VIPR1
ZNF385A FYB
CDC37 MNAT1
ETFDH GPR35
SLC43A2 SQRDL
CCL21 BMP2
POU2F3 MED27
POU2AF1 ST6GAL1
SLIT1 ALCAM
GSTP1 EIF2B2
TIAL1 ZNF76
SDIM1 VASN
PIPOX OR1M1
ABCB9 TSPY1
UBE2D1 OR2Y1
EPB41 APOA4
XPO6 ROBO1
UHRF1 TFAP4
REG3G FGA
MAB21L2 FEZ2
TRMT112 CLK1
CTNNBIP1 BST1
FOXO1 SFRP1
IKBIP FAS
PRKG2 TTK
PCK1 IGLV6-57
HFE TRAF1
ASPG TAF5L
FBXL6 CASP2
MRPL3 NDUFS7
ANXA2 PITX1
IDH3A TRPM6
LILRB2 NEU4
MOG ARG2
SCO1 NES
CRABP2 LAMA3
SDHAF4 GRIK1
GPHA2 CCL3L3
ARSE SHOX
SIRT6 EDAR
RHOBTB2 ITGA7
HERC5 FBXO22
TFAP2B TIAL1
ATOH7 NXF1
ADORA3 BCL6
NFATC3 FOXN1
EEF1D CXXC5
F13B PCBD1
LAMC2 ATP2A2
MTRR SDHA
PRDM4 LSP1
SPAG1 ADAM21
PCDHB9 ENSA
FLRT2 FBXL16
TMED1 PCDH1
SAG FCN2
KCNA5 KCNK4
CDC42EP2 SNRPG
GJB6 ATP6V1B1
KIAA1161 ABCB8
SCN1B CACNA1B
CSGALNACT1 CDK3
TCIRG1 IL6
ALDH3A2 AMZ2
KCNA3 SYNCRIP
FREM1 MAP3K11
CLPX F8
NFATC1 NFE2L3
SPAG11B DUSP13
GEMIN5 OR6C6
ASTL PLA2G2E
MTNR1B HOMER1
E2F1 SIX1
SLC6A19 MIR208A
CPPED1 SLC13A5
CISD2 KRT14
MNDA EPAS1
BSCL2 TAS2R7
SLC25A13 IFT74
SEMA4F S100A9
ARHGAP36 ANXA4
MIR29C BLNK
UBE4B ZRANB3
NOD1 CXCL2
MBP TCF12
KLF9 UBP1
CXCR4 CALCA
CNTFR CPNE6
ZBTB8OS MTHFS
TSPAN31 SSR1
FAF1 ELAVL4
LAMC1 AOC3
ICAM2 NEU2
UST CXCR1
MAF SIGLEC7
EIF3M GRM5
MIR873 C19orf66
CRYBB1 TGFBI
TMPRSS6 PCSK2
ZNF420 MIR133A2
SNAPC3 TSC22D1
CLPTM1 ARHGDIB
BCAP31 SGPL1
GNG2 OR7G1
CDHR5 CREBL2
SH3KBP1 FOXM1
NECTIN3 CABIN1
TRAF2 STK16
RANGRF FCER2
DPYSL4 NR2C2
SH2B3 PDLIM4
GALR1 GLRA1
MBOAT1 MIR18B
SF3A1 ERGIC2
MMP10 UBA3
LIMK1 PCDH1
GPNMB IL1A
MEMO1 TTLL11
MALSU1 MAP2K3
ALDH3A1 DDO
BAAT SSTR1
FTH1 APLN
CTSS DEFB4A
NFIC NFKB1
PHKA2 USP20
NINJ2 CNPY4
CCR6 MATK
MGAT4A ST8SIA4
FNBP1 POU4F1
L1CAM PGC
SKP2 CDC16
ZEB1 CREG1
RAX TULP1
ETV1 RREB1
DNMT3L DNMT3A
RRN3 TEN1
ARHGAP29 IKZF1
DNMT3A GATAD2A
DNAJB13 PPP1R35
NFKB1 POLR2E
AASDHPPT TMC6
MAPRE1 UBE2V1
LY75 NAT8L
DLL1 P3H2
ASB17 GPR83
ABLIM1 BRAF
TIMP1 CAPNS1
AGER ANXA1
CFD ATG4B
CNTROB KCNK7
LRRC8A HECTD2
MMP8 CASP2
ADGRE1 ALCAM
NFAT5 SCTR
POU4F2 ZNF177
SGOL1 NTSR1
BCL9 FCER1A
EFEMP1 ROM1
CORIN LRP2
DYNC1LI2 ZNF224
LILRB2 NRP1
PCNA RAF1
KLF9 MED27
GLMN GUCY2F
HTRA2 PEPD
CXXC1 BCL6
CNIH1 CEBPB
IL17A FGF16
MAPRE1 NOP2
TRAIP CHRM5
LTB4R IRF8
GNAO1 EIF3L
SUPT16H GATA3
CEBPB NFE2L2
MEPE OR5AR1
KAT5 PAX2
PRG4 SIPA1
HMGA1 TP53
GMIP POU2F3
CIB2 OR13C2
ADRA2C ZYX
NRCAM THEM5
PAWR SST
CENPC USP33
CSF1R FGF8
AOAH CCL24
ZC3H7A POLR2D
ZNF385B OR4C13
GAGE1 KRTAP29-1
PTBP2 DPEP1
OR2T7 TPRA1
FAT1 IK
SLC9A3R1 CD40
LILRB2 RGS1
OR2W3 TWF2
UTP11 TLR2
IRF3 RUNX3
ACOT11 RYBP
CPQ CFD
CAP2 GDNF
DUSP18 MRPS6
CHRNA4 HTR6
SIAE GLIPR2
LILRB2 CD33
ACTR3 IL13
KRTAP13-3 INO80C
FTL TMIGD1
KRT16 SCEL
TDH MCM10
NDUFB11 CD160
SIGLEC9 PLD2
SPDEF ADHFE1
VTI1B UHRF1
TREX2 SLF2
EGR3 IGHV1-69
NR2C2 HMGA2
CCL17 TFAP2C
ZSCAN21 CD96
TCF25 SUPT4H1
SMARCD2 NR2F2
ITIH3 EHMT2
HLA-G NTHL1
PNN VTN
FBXL3 CIB2
SUMF2 TMED2
LHX1 YTHDF2
TNIP1 RPL5
TRMT61A ITGA8
DNAH9 CAPZB
GBX2 IGKC
EPO OR6B2
DEFA6 UGT2B11
HOOK2 HLA-B
FANCI SOX8
AHSG LUZP4
COQ5 POLR3G
MERTK MCCC2
ADRA1D IL6
PROK2 TCF19
FMR1 MIR148B
CUL3 NRP1
COL11A1 RAX
LHX1 LSAMP
PDE12 XRCC2
ANKRD2 SLC48A1
ARHGDIB S1PR4
GNB3 GPR21
FGF9 HJURP
UTS2 MTNR1B
CCL27 TFAP2C
DPAGT1 CST4
PLA2G5 FCHO2
HTR1E MC3R
DNAJA2 PDF
IKBIP ASRGL1
VCAN SUFU
LDHA GRB14
CHKA APOBR
CABIN1 AP1AR
NLRP12 TEN1
ALDH9A1 DLL3
SYCP1 TSPY1
ANO4 AK3
FABP4 DHCR7
OR6B1 E2F1
MNAT1 TSPAN4
NPBWR2 MTNR1B
PLCB2 PLA2G6
ARIH1 SIAH2
FSCN2 CNGB3
ARPC3 VNN2
SUFU HMSD
CRIM1 DPYSL5
TDRP TRPC3
GRIN2A SCN2B
ATP11B MITD1
NDUFA2 DFNB31
MEOX2 ACRV1
COL26A1 NRBF2
SLC7A8 PEA15
ABCF1 LY75
MLNR TAS2R1
ELAVL1 MXD1
UNC13B CD2
ATP6V1B1 TACR2
HK2 SKP2
GNLY NR0B1
MTBP RNF20
FARSB RPL3L
NR2E3 GUCA1C
NFRKB TCEB3B
MRPS27 DNAJA4
DGAT2L6 OVGP1
CDS1 COL18A1
LMO1 KLF10
TIMM10 MOV10
CEBPB HGSNAT
CDKN3 CDK10
DES PLXNB2
SH3D19 HS3ST6
CLTA NPC1
IL15RA ZFP36L2
ATP5H PAGR1
PRSS3P2 RGS4
GATA4 HOXB2
MIR26A2 COL17A1
PCGF6 TNFSF15
FOSB AFF3
TSSK2 DES
SUGT1 NEFL
SDHAF4 SCTR
MMACHC GEN1
IL5RA BUB1
TMED7 PIK3R6
ABCD1 GP6
ZHX1 TGIF1
CKAP2 GALNT2
FOXF2 FOXC2
KRTAP4-8 OR4C6
SLC9A5 LGALS16
HTATIP2 GDNF
PDK1 SIRPA
NR2C1 EEF2
CFD PRSS2
DEFA3 KCTD6
TRIM65 PTGER4
LILRB3 HRAS
RACK1 DCT
SDHAF2 CSF2
USP37 SLC26A9
CLEC4E CCL20
REEP3 ST3GAL1
GNAQ S1PR4
FIG4 WASH1
PALM CCL5
EFNA3 GRB10
DBF4 F2R
IFNL3 RIMS1
NID1 TREX2
MICU3 TXNL4A
RIDA KCNH1
CLK1 SNU13
CRTC3 HYAL4
SPINK6 OR1L6
GP9 C4BPB
DHDH ST8SIA2
IGFBP4 TRIM27
OST4 FRRS1L
CENPW NPAS1
MIR100 SLC25A4
ADD1 CDY1B
SPIB TCF12
INHBA INSL4
LECT1 RAB11A
RAPGEF3 AREG
ZC3H7A UBE2K
ATR ACRV1
FGF1 TGIF1
ATF6 MED27
ABL1 BCL3
CDH18 NTRK3
SLC36A4 ZBTB42
CCL21 VIPR2
GRK7 SPDL1
MYO3A EIF2AK3
RPL6 RPL7
GSTP1 RELA
CCR7 ANXA1
APBA1 LPXN
PAFAH1B3 SLIT1
RASD1 UCN
CRHR2 TLR9
TSHB C5
KLRG1 HRH1
TBC1D8 CD81
ADRA1D FOSB
ADAM19 NR2E3
SSTR5 BAP1
NOD1 PRKAR2B
ADRA1D MNT
FAP MYLK
TRAPPC6B RAB17
SMARCC2 TCF4
SERPINE1 F2RL3
RYBP LIMD1
OR10R2 TONSL
ATP5J TUBB8
HTR1D TAAR5
BNIPL ATP8A2
ANPEP GTF3C6
EPHA1 IGKV2D-30
BTC CCKBR
GRK5 HSP90AB1
RPS6KA3 RAB10
ACSS3 CYP2A6
NR2E3 PARP1
STAT4 OR2AJ1
PTPRU ARHGAP5
CHM RDH8
SKP1 ALDH2
PITRM1 CASP1
ARHGAP5 PSTPIP1
NOP56 FGF1
CD300C SAMD4A
TMPRSS2 ACTR1A
TBC1D8 IL11
COG2 NINL
NEUROG1 SEMA5A
PITRM1 ATG4A
GABRA3 FCHO1
NOBOX BMPR1B
OR8K5 RARRES3
OST4 KRTAP25-1
NR2E3 TCERG1
H2AFZ PPP1R37
DDX11 RHOU
PRDX5 NFE2L1
FCGR1A APLN
DCD PSG4
MIP OR52E6
MOGAT1 CTDSP2
ZNF256 GLI3
HES1 KCNJ15
CCL19 C5AR1
PTPN3 NLRP4
CCL22 CD1B
TUSC3 MAGT1
PDE6C PDE6B
B3GAT3 OR51A2
ERBB4 FES
GPR1 GPR15
UTS2 QPRT
CACTIN SLC30A9
ERCC2 TNFAIP1
GNS MYO10
GCG AKAP12
MME METTL1
FCN2 ADAMTS8
UTP11 LGI1
CD160 IGFBP4
SPDEF CREG1
CHMP2B FRZB
SLC6A19 USP33
SCN8A ITM2B
IFT43 ADAL
RBM4 EYA4
EXTL1 PITX1
PCDH1 POU4F2
PQBP1 ZNF35
KCNK4 ADGRE2
KLF12 SNAI2
ANXA1 TNFRSF18
PTGDR2 GPR39
DOLK MIR137
STARD10 MYCNOS
PLPP1 TFG
KLRG1 CYBB
AHCY PPIA
L1CAM SOD1
NR2E3 FOXE3
MLKL NDUFAF3
MCRS1 MB21D1
TNFRSF14 CD22
PLK5 SERGEF
OR5J2 CAND1
ALDH1A3 CH25H
LPCAT2 FABP2
KCNJ11 KCNK1
COL4A3BP SOX18
AKAP9 SLC25A17
HLA-B PTPRCAP
CDCA2 ICMT
FCGR1B PYHIN1
FUT9 ADH1A
PRELID1 RFX1
CGB7 CXCL14
MSI1 NR2C2
HEXB RNF138
DAGLB DNAJC13
COMP FGF16
ALOX15B CH25H
GABRA3 IRF5
IGHG2 NFKBIA
GPC2 PGF
DLX5 LGI1
RPL27A MRPL12
AKAP3 POLN
ATG4A FABP9
DRG1 LIMD1
SENP5 UBR2
STAB1 SCARF1
GHSR PTPN6
KCNIP3 NFYC
REV3L OR10H4
RBBP6 PCGF6
TDRP HIST1H2BA
GJA8 IMPG2
GPR27 PI4K2B
PPP1R35 CD96
MLYCD FARSB
APOD PLTP
POMC FGF17
PAK4 OR5W2
COL16A1 PZP
THG1L GNA15
SLC2A5 XYLB
SESN1 TNFRSF9
ATP8B4 GLIPR1
UST HS3ST5
ERBB4 NDP
HTR1B SYN1
TMEM123 PRSS2
CHM UNC119
ARHGAP20 FOXF1
CLCNKA ADORA2B
DENND2A DDB1
TBC1D30 TBL2
CDH8 ROBO1
AES CCL17
GJA1 SLC25A3
ADRB3 SELK
LPAR4 GPR34
NPBWR2 GPR19
ITGA5 CCL4
PTHLH PTN
IL15 CCL25
VCAN ENC1
SEC24B VPS33B
MTHFD2 NKX2-6
MRPL33 ZNF559-ZNF177
RPL17 SLC20A1
CASC2 TMED9
AR GDF5
MGST3 CENPP
APLNR SPHK1
RHOG FZR1
CTSK CASP1
PIK3CB GPR52
UBE2K UBE2A
CDKAL1 PEG10
GLRA1 RAPSN
ERBB4 KRT16
GM2A H2AFZ
KRT31 OR52M1
BPHL SNF8
TMOD2 NR2E1
NUP43 CP
TOMM22 PLCH1
CHMP1A DFNB31
CCL25 SST
GRIN1 MGAT4A
RICTOR CHRM4
PDIA5 PRKCI
PNPLA5 CRP
POU1F1 THAP12
TTC8 IL11RA
HPN GAS1
LIPM UFL1
NOD1 RICTOR
DNPEP ZNF513
MIR29B2 KRTAP21-3
TLR2 TRADD
CNTN6 CXCR3
SNTG2 DCLK1
CD3EAP ANP32B
DLX5 PCDHA10
DCDC2 MCF2L
DYNC1I1 APOBEC1
IFNA13 FNBP1
ABCA2 ZNF76
ALPL OPN1SW
POLG2 NACC1
CIITA CCL19
ERCC2 SIPA1
CDK10 HGS
TNFRSF13C ADCY3
EP300 SEMA5A
NOX4 RELA
SEC61G NDUFA11
MICU1 HLA-B
SLC6A14 ALG6
PIK3AP1 SPAG11B
DEFA6 CD1C
ZMYND11 MEIS2
CENPQ ALPL
DSG4 PIK3R6
LEFTY1 JPH3
BET1L SGOL1
ST8SIA3 KDELR3
IFI44 POLR3E
EREG FGF12
CHRM5 TPX2
SPDL1 BACE2
IFNL1 NME2
OR51I2 ZBTB38
CRABP2 KRT16
KCNG2 KCNC4
CLPX HSPBP1
TOMM6 HACE1
SMNDC1 LSM4
TNFSF10 CD2
CHEK1 TGFB2
PPFIBP1 ACTN2
CRYZ MRPS18C
ITGB1 CCL5
CHRM4 MPL
EYS OR5C1
ADGRE1 CERCAM
PGLYRP3 NCBP1
SULT1C4 LRP1
WDTC1 PYCR2
DRAP1 SUPT5H
CTNNBIP1 ZNF146
MAP3K7 GDF5
DSG2 OR56A5
LPAR4 GABRR2
HCFC2 TBX3
USP39 UBA3
MUSK ZCCHC11
PLIN3 RAB1A
FPGS OAS1
CSTF1 CHRNA7
GADL1 PYDC1
ZDHHC23 ARL2BP
PRELID1 MEOX2
PLA2G2D NOD1
CST9 STAG1
OR5T2 GALNT11
KAT2A BRCA1
ISG20 CCL19
YY1 CREG1
CDY1B FDPS
IL1A PDGFRA
KRT28 TNNT3
CCR9 ACKR4
CCR8 MYL6
TNC ITGA9
LDOC1 RARRES1
PRDM4 STARD4
RNF217 TTC3
KCNA5 KCNJ5
UBE3A CASP5
DCAF17 TOM1
MYO6 KRTAP13-3
DCUN1D3 INO80B
FSCN2 TACSTD2
CPOX LCAT
MATK TBX2
ELFN2 SIN3B
FANCA BCS1L
CORT OR51A7
TMEM17 KRTAP10-7
CPA3 CASP4
OR13H1 ATP6V1B1
HOXA1 PAEP
ABCA8 NTHL1
EN2 TP53
ACLY SNX12
CYP3A4 MTTP
GATA3 SALL1
FKTN MAPK12
DEFB4A GPR34
IL11 NRP1
FAN1 SETD1B
APOA4 DLL4
RHOH CLCN4
ATG4B TDH
RRH PTGER3
PDCD1 SGPL1
MST1R TIMP1
EMP3 COX4I1
TMBIM1 CDK2AP2
FCGR1A C1QBP
CPM HOXA11
OR2D2 SIX6
KLF9 NR2F2
SMARCD1 FOSL1
PCDHA8 LGI1
MAG ASPH
NRDC S100B
TBC1D16 CCDC50
FRK DHX16
TBX1 PTBP3
CRAT SCG2
IFI30 SLN
GJB1 SSTR1
TSEN15 KCNJ4
PCDHB10 SYN1
STK3 RFFL
CDK6 CDK7
ISG20 CCKBR
PI4KA PCDHB16
CELF2 RPL7A
ITGB6 PCDHA10
RAG1 CCL19
KIF15 RAF1
FOXF1 MRGPRX2
PAEP RS1
LUM OR51V1
GAS8 FGFBP1
FARSB SEC22C
TRPV6 PCSK9
KIFC3 RPP38
LMAN1 ERGIC1
OR1L4 PDE6B
CSF1R DEFA5
NSMF EEF1AKMT1
SLPI METAP1
MARS MEOX2
RYBP SNAI2
GNE ALCAM
HBG1 SLC16A11
IGFBP6 VHL
SNAPC5 OXCT2
DRD4 SCN2B
OR5M9 OR1S2
MIF TRPV1
KITLG SIPA1
TAS2R3 KIAA1033
SNX11 MTRF1L
HMGB1 BIRC3
GNG7 NDUFAF7
CTSO DAZ1
HCLS1 STMN1
KRTAP29-1 TMEM127
PTN SLIT2
OR6C6 NLK
ADK CYP2W1
ADAM29 USP9Y
SLC36A4 LDLRAD4
TAS2R40 NPR1
RPRD1A SYNCRIP
FBXW10 SP7
GNA15 OR10G8
CDK5 CSE1L
GNPDA1 MUC4
LOXL3 LILRB2
NFATC3 TCEB1
FPR2 GPR32
TIMM8A EPHB1
UST GNB3
SNX11 MARK2
FOXE3 PTTG1
IRF8 SPI1
VPS37C RBM6
HSF2 CCNT2
SLC15A2 ARL5B
TDGF1 CAPN1
CYP1B1 MEAF6
SOX12 BRCA1
DSG4 GET4
EFNA2 FGF4
KCNQ3 PCDHB10
MID2 DDO
IKBIP MUC7
F7 PRDX3
GPR45 GPR1
IL13 MAPK11
TENM1 MNT
SOD2 SP4
TUBB CAPZA1
KRTAP5-10 MAGEA2
APOBEC1 TTPA
EP300 PDIA2
GNA13 VIM
CCL27 CCR5
TRAIP BUB1B
JAK2 RBBP6
IGKV1D-12 CLEC4D
CD160 E2F1
PAX6 NR1H3
ELK3 TIMELESS
ZNF365 DCANP1
FOXE3 SLCO1A2
RPS3A EIF2B3
TENM1 TM4SF4
HOXC6 DRG1
ANKRD11 NUDT11
MAPK8 WASL
HACD2 PARD6A
PDCD7 HUS1
SDCCAG8 GMFB
LTA4H NDUFA11
GAD2 HAP1
GNA12 CD3E
PCSK6 IGHV3-53
PBRM1 GRAMD4
RBP3 TGFBI
IL5RA EVI5
UTP11 PCDHA8
SUPT5H ZNF148
RASGRP4 E2F1
MLLT6 ZNHIT3
FOSB GREM1
DNTT IL7R
STK38 FYB
RAB9B ACSM2B
ADORA1 TNFAIP6
GRB10 KLF10
NEK11 MKNK1
CYSLTR1 AVPR1A
TUBGCP2 LLGL1
DAP3 OR10H4
GSTA1 DCXR
BCAS2 LSG1
INHBA TNFRSF25
MAU2 SCNN1G
CTSK MTCH2
ATG4A KLKB1
DCST1 KRT18
USH1G DUSP15
EGFR IL1A
RARRES3 WTIP
APOC1 CSNK1D
PAICS OR51A2
IL1A ING1
ERGIC2 MIR218-1
IFITM5 BECN2
NEU4 IFNA21
SLC11A1 OR8B12
PAX5 PKD2
TRIM27 FBLN1
GFRA4 AMOT
ABCB4 CH25H
APOF EPS8L1
CMKLR1 CXCL14
EDN3 FGF8
MFGE8 TYRO3
DMTN DHRS2
CCDC113 NRN1
CST2 POMC
NME3 TLR2
CLTB RIMS1
NUDT11 GRB2
DNTT ULBP3
KDELR2 CDKN3
MTERF4 CDKL3
CLEC3A ZG16
CD300LF PPIL2
DMGDH PPP2R5A
TRIM13 CORO2A
GAB1 PLA2G1B
CCR9 LY96
CHRNA3 PLP1
KCNE5 KCNE2
MC3R SSTR3
EMP3 ING4
GNPDA1 GCSH
MCM10 OR7G1
WNK4 COPG1
LTC4S OR7A10
IL4R GTPBP1
CDK7 NUP188
SNX10 RHOC
CNTN4 TFAP2B
ACSF2 CRAT
MST1 ARSH
NBEAL2 DMGDH
ARL5B GNPNAT1
ST8SIA4 SEMA5A
RNF114 MYLIP
DDX11 TRIM40
PINK1 ITGB1BP1
SCUBE3 LAMTOR4
ST8SIA3 ADH1A
ROBO1 SELL
SEMA4F MYLIP
SLC9A6 EFS
SERPINF1 RPS27
HOXD13 KLF11
FLT3LG FGF18
APBA1 OPHN1
CCL20 PWP1
TPTE C4orf26
ABCC5 SLC7A7
TTLL5 ZNF335
FSCN2 LZTR1
RAPSN SCN1B
NAPEPLD NLGN3
P2RY11 CD300LG
TACR1 AIMP1
ADRB2 S1PR3
ING3 MCTS1
TXNL4A SLC24A2
IGF1 DNALI1
SUPT16H APEX1
APLP1 PAX5
AHCTF1 XRCC6
BIN3 OR4K3
DGAT2L6 XPO6
SRPK1 TCF19
PPARGC1B CRTC1
MAOA OPRM1
HNRNPC ILF3
GABRR2 SYT5
PDIA6 DNAJA3
CALY CBLN1
COX7B PPP3R1
MYF6 ANKRD28
POU3F2 REG1A
FARSA FCGR2A
PYCRL DUSP18
SMAD4 KPNA4
VCAN KLF3
RBM6 CEP63
BSCL2 INPP5B
MTCP1 OSMR
TRHDE HOXB1
TMED1 PRKACA
SUGP1 USP22
ARFGEF2 MIR206
ACOT8 CLEC2B
MNAT1 VAPA
TCF7 TCF12
GAD2 SYN1
ABCC3 SLC25A14
MAEA GML
TMPRSS11E CYP2C18
AQP1 DPP4
MYL6B MMP2
PLCB1 ANAPC4
SPCS1 ADAMTS9
IL1A CNOT8
CASP1 CTSF
ARVCF VWF
CYP3A4 AOAH
HPGD PSG4
CTSK HTRA2
DCTD L3MBTL1
TCF25 IRF8
PTHLH TSPAN31
LAX1 VTN
ADCYAP1 EDN3
GAD2 PCDHB10
POU4F1 SOD2
CYB5A DCLRE1C
HMGB1 CNNM2
MTCP1 MLH1
IL15 FGF16
POMC RUNX1T1
FSHR TAAR8
IFNA14 CCT8
RERG TP53I11
TNFAIP6 GDF15
TIMM8A STMN3
APOC1 ZNF202
CCL27 CCL1
ARL2BP KLK13
TCIRG1 CCR6
FGF13 PRPS1
CYB5A SAE1
SPAG11B LSM4
CUTA HLA-DQB2
OR5H1 SLC47A2
RPL5 RPL18
SPRY2 ADRA2C
GUK1 MIRLET7F2
STOM CALCOCO1
SMARCA2 SMC2
FAM98A PMVK
OR51E2 WDR4
TBC1D16 PRNP
PLA2G16 TSLP
COX17 PLEKHA3
SLC26A1 RPL11
GPR19 NAXE
CYP46A1 MSI1
DLL4 GCKR
NDUFB8 TWF2
NEK6 SRPK1
PRR5 SERP1
SMYD1 TMEM181
LILRB2 BIRC3
CDKN3 NF2
CEP126 ANKRD2
BTNL3 APOD
FANCI HNRNPH1
ZBTB38 PDE6B
OR52K2 OR4D11
PLK5 PKN1
GMPPB LBP
PDF TDGF1
CANT1 MUC15
GUCA1B LALBA
KRT86 DNM1L
HMHB1 S1PR3
UCKL1 BTN2A1
CDH18 LRRC8A
STUB1 TRIM62
GATA3 HOXA11
CRMP1 SOD1
GSS MDH2
EFNA3 FGF18
KDM2A KCNJ10
NMI HDAC9
MCL1 PLXNA1
CDC37L1 YWHAQ
OR56A5 ALDH1A3
IRF2 MATK
MSL3 LIF
CTSK CASP5
USH2A CD36
RDH10 GNAT1
WWP1 MDFIC
FGF12 TNFSF8
EARS2 USH1G
LYST COL9A1
DRAP1 RYBP
CYSLTR1 MCHR1
CRHR2 CLCF1
POGZ RBBP4
HSF2 COPS2
OR4N4 GPR15
CKLF GNPDA1
DUOX2 TNF
IL5RA TGFBI
AFF3 LENEP
GPR176 SPHK1
IKBKAP IL32
ITGB1 SLC17A3
BAK1 CD70
SREBF2 NR2F2
HIST1H2BK TREX2
ELF3 TAF1A
EDNRB CRLF3
LYPD6B NDP
LMO1 MPL
POU5F1 SCRT1
CRABP2 ING2
FURIN MBTPS1
KCNK1 KCNK4
STK38 STK17A
IGSF6 NUP62
RRH PRR4
CXCL6 KLF10
FTH1 ZEB1
TRDN PDF
PLAT UBE3A
IGHM PKDREJ
CHD4 TCF19
